"Customer Group Catalog Permissions by Aheadworks","Customer Group Catalog Permissions by Aheadworks"
"Customer Group Catalog Permissions","Customer Group Catalog Permissions"
"General","General"
"Enable","Enable"
"<strong style=""color:red"">Warning!</strong> By default this feature hides all categories, products and Static pages.","<strong style=""color:red"">Warning!</strong> By default this feature hides all categories, products and Static pages."
"OK","OK"
"Cancel","Cancel"
"Yes","Yes"
"Information","Information"
"Please disable <a href=""%1"">native category permissions</a> to continue.","Please disable <a href=""%1"">native category permissions</a> to continue."
"Category Permissions","Category Permissions"
"Browsing Category","Browsing Category"
"Show for everyone","Show for everyone"
"Hide from specified customer groups","Hide from specified customer groups"
"Hide from everyone","Hide from everyone"
"Customer groups","Customer groups"
"Redirect Visitor to This Page","Redirect Visitor to This Page"
"Insert the page URL to redirect customers to any page you need.","Insert the page URL to redirect customers to any page you need."
"Display Product Price","Display Product Price"
"Text Message When Price is Hidden","Text Message When Price is Hidden"
"T‌his message is shown for customers when the price is hidden. HTML Tags are allowed.","T‌his message is shown for customers when the price is hidden. HTML Tags are allowed."
"Allow Adding to Cart","Allow Adding to Cart"
"Text Message When Button Add to Cart Is Hidden","Text Message When Button Add to Cart Is Hidden"
"T‌his message is shown for customers when button Add to Cart is hidden. HTML Tags are allowed.","T‌his message is shown for customers when button Add to Cart is hidden. HTML Tags are allowed."
"Product Permissions","Product Permissions"
"Products","Products"
"Product price","Product price"
"Static Page Permissions","Static Page Permissions"
"Static Pages","Static Pages"
"Category Permissions by Aheadworks","Category Permissions by Aheadworks"
"New Permission","New Permission"
"All Store Views","All Store Views"
"Store View","Store View"
"Customer Group Catalog Permissions by Aheadworks","Customer Group Catalog Permissions by Aheadworks"
"Update Permissions in Bulk","Update Permissions in Bulk"
"Delete Permissions in Bulk","Delete Permissions in Bulk"
"Show","Show"
"Hide","Hide"
"Customer Group","Customer Group"
"Category","Category"
"Product Price","Product Price"
"Add to Cart Button","Add to Cart Button"
"All Customer Groups","All Customer Groups"
"Something went wrong while saving permissions.","Something went wrong while saving permissions."
"T‌ext Message When Price is Hidden","T‌ext Message When Price is Hidden"
"This message is shown to visitors instead of hidden product price. HTML Tags are allowed.","This message is shown to visitors instead of hidden product price. HTML Tags are allowed."
"Use Config Settings","Use Config Settings"
"Product","Product"
"Product Permissions by Aheadworks","Product Permissions by Aheadworks"
"Static Page","Static Page"
"Static Page Permissions by Aheadworks","Static Page Permissions by Aheadworks"
"You already have a permission with this scope.","You already have a permission with this scope."
"Sorry, you are not allowed to view this category.","Sorry, you are not allowed to view this category."
"Sorry, you are not allowed to view this product.","Sorry, you are not allowed to view this product."
"Sorry, you are not allowed to add this product to your cart.","Sorry, you are not allowed to add this product to your cart."
"Make sure that this page isn't used as ""CMS No Route Page""","Make sure that this page isn't used as ""CMS No Route Page"""
"here","here"
"You are not allowed to view this category.","You are not allowed to view this category."
"Select Catalog Element Type","Select Catalog Element Type"
"Select Items","Select Items"
"Set Permissions","Set Permissions"
"Apply","Apply"
"Step 1: Select Catalog Element Type","Step 1: Select Catalog Element Type"
"Step 2: Select Items","Step 2: Select Items"
"Step 3: Set Permissions","Step 3: Set Permissions"
"Categories","Categories"
"Products","Products"
"Pages","Pages"
"Please, select catalog element type for which you want to set permissions in bulk.","Please, select catalog element type for which you want to set permissions in bulk."
"Please, specify catalog elements to continue.","Please, specify catalog elements to continue."
"Please, double-check the permissions: Some of them overlap each other.","Please, double-check the permissions: Some of them overlap each other."
"Permissions have been applied successfully.","Permissions have been applied successfully."
"The configuration can't be applied because you didn't set any permissions","The configuration can't be applied because you didn't set any permissions"
"Delete","Delete"
"Permissions have been removed successfully.","Permissions have been removed successfully."
"Some of required data is missing.","Some of required data is missing."
"Invalid entity type ""%1""","Invalid entity type ""%1"""
"Update in Bulk","Update in Bulk"
"Choose all categories","Choose all categories"
"""Catalog Element"" can be either category or product.","""Catalog Element"" can be either category or product."
"Catalog Elements Permissions","Catalog Elements Permissions"
"Browsing Catalog Element","Browsing Catalog Element"
